0101JAMMU & KASHMIR               Kupwara 01
0938UTTAR PRADESH                 Hamirpur 38
0939UTTAR PRADESH                 Mahoba * 39
0940UTTAR PRADESH                 Banda 40
0941UTTAR PRADESH                 Chitrakoot * 41
0942UTTAR PRADESH                 Fatehpur 42
0943UTTAR PRADESH                 Pratapgarh 43
0944UTTAR PRADESH                 Kaushambi * 44
0945UTTAR PRADESH                 Allahabad 45
0946UTTAR PRADESH                 Barabanki 46
0947UTTAR PRADESH                 Faizabad 47
0948UTTAR PRADESH                 Ambedkar Nagar * 48
0949UTTAR PRADESH                 Sultanpur 49
0950UTTAR PRADESH                 Bahraich 50
0951UTTAR PRADESH                 Shrawasti * 51
0952UTTAR PRADESH                 Balrampur * 52
0953UTTAR PRADESH                 Gonda 53
0954UTTAR PRADESH                 Siddharthnagar 54
0955UTTAR PRADESH                 Basti 55
0956UTTAR PRADESH                 Sant Kabir Nagar * 56
0957UTTAR PRADESH                 Maharajganj 57
0958UTTAR PRADESH                 Gorakhpur 58
0959UTTAR PRADESH                 Kushinagar * 59
0960UTTAR PRADESH                 Deoria 60
0961UTTAR PRADESH                 Azamgarh 61
0962UTTAR PRADESH                 Mau 62
0963UTTAR PRADESH                 Ballia 63
0964UTTAR PRADESH                 Jaunpur 64
0965UTTAR PRADESH                 Ghazipur 65
0966UTTAR PRADESH                 Chandauli * 66
0967UTTAR PRADESH                 Varanasi 67
0968UTTAR PRADESH                 Sant Ravidas Nagar Bhadohi * 68
0969UTTAR PRADESH                 Mirzapur 69
0970UTTAR PRADESH                 Sonbhadra 70
1001BIHAR                         Pashchim Champaran 01
1002BIHAR                         Purba Champaran 02
1003BIHAR                         Sheohar * 03
1004BIHAR                         Sitamarhi 04
1005BIHAR                         Madhubani 05
1006BIHAR                         Supaul * 06
1007BIHAR                         Araria 07
1008BIHAR                         Kishanganj 08
1009BIHAR                         Purnia 09
1010BIHAR                         Katihar 10
1011BIHAR                         Madhepura 11
1012BIHAR                         Saharsa 12
1013BIHAR                         Darbhanga 13
1014BIHAR                         Muzaffarpur 14
1015BIHAR                         Gopalganj 15
1016BIHAR                         Siwan 16
1017BIHAR                         Saran 17
1018BIHAR                         Vaishali 18
1019BIHAR                         Samastipur 19
1020BIHAR                         Begusarai 20
1021BIHAR                         Khagaria 21
